"ID"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"txid1329411"	0	0	221	0	0	0	0
"txid1683"	0	0	1	0	0	0	0
"txid1769423"	0	0	1	0	0	0	0
"txid1437609"	0	0	419	0	0	0	0
"txid1150460"	0	0	1	0	0	0	0
"txid2650773"	0	0	1	0	0	0	0
"txid2306975"	0	0	1	0	0	0	0
"txid1630172"	0	0	19	0	0	0	0
"txid2650774"	0	0	2	0	0	0	0
"txid2834437"	0	0	1	0	0	0	0
"txid1630166"	0	0	38	0	0	0	0
"txid2834431"	0	0	1	0	0	0	0
"txid2834432"	0	0	6	0	0	0	0
"txid78257"	0	1	2	0	0	0	0
"txid1798158"	0	0	1	0	0	0	0
"txid1437610"	0	0	59	0	0	0	0
"txid2045439"	0	0	64	0	0	0	0
"txid2834433"	0	0	39	0	0	0	0
"txid2306974"	0	0	5	0	0	0	0
"txid2809028"	0	0	2	0	0	0	0
"txid2834434"	0	0	1	0	0	0	0
"txid762211"	0	0	2	0	0	0	0
"txid2562524"	0	0	7	0	0	0	0
"txid2014528"	0	0	0	1	0	0	0
"txid2220000"	2	0	0	0	0	0	0
"txid1964384"	0	0	2	0	0	0	0
"txid2584469"	0	0	0	0	1	0	0
"txid1852385"	0	0	9	0	0	0	1
"txid997349"	0	0	1	1	0	0	0
"txid2003188"	1	2	3	1	2	1	1
"txid1871031"	1	5	4	1	9	1	4
"txid1852386"	0	0	1	0	0	0	0
"txid2603815"	0	0	1	0	0	0	0
"txid1907654"	0	0	1	0	0	0	0
"txid1720204"	0	0	0	1	0	0	0
"txid147207"	29	78	51	7	48	46	43
"txid1871016"	0	0	2	0	1	0	0
"txid1937461"	2	2	1	1	2	2	1
"txid147206"	2	5	4	1	3	7	4
"txid742742"	17	13	36	6	104	16	8
"txid1870987"	20	11	4	3	56	10	9
"txid1232426"	0	0	0	0	1	0	0
"txid883106"	1	0	0	0	0	1	0
"txid47678"	2	0	0	0	0	0	0
"txid1411144"	0	0	6	0	0	0	0
"txid28111"	29	5	0	0	0	4	6
"txid1236513"	1	0	2	0	0	0	0
"txid1077285"	16	9	1	1	0	0	15
"txid338188"	1	0	0	0	1	1	0
"txid2792859"	57	19	12	0	10	82	43
"txid1912896"	1	0	2	0	0	3	0
"txid1841856"	55	31	195	34	48	114	15
"txid28116"	4	0	1	0	0	4	0
"txid291644"	40	11	0	1	0	0	17
"txid449673"	9	6	17	0	0	4	0
"txid818"	2	2	16	1	0	6	2
"txid820"	58	17	1	0	1	2	22
"txid657309"	4	0	0	1	1	0	1
"txid2650157"	1	1	0	0	0	1	0
"txid2725562"	1	0	2	1	0	0	0
"txid1841865"	0	0	1	0	0	0	0
"txid376804"	17	3	10	6	13	20	1
"txid387090"	1	0	2	1	1	1	0
"txid357276"	282	115	13	6	36	154	61
"txid2786956"	1	0	1	1	1	1	0
"txid204516"	103	29	145	4	7	66	21
"txid1236498"	0	1	1	1	0	1	0
"txid484018"	8	2	3	2	3	9	2
"txid1236538"	144	124	116	93	128	352	60
"txid435590"	100	165	159	32	131	885	142
"txid487174"	1	0	6	0	0	1	1
"txid397865"	1	0	4	1	0	1	0
"txid1349822"	3	1	5	0	0	5	1
"txid2518971"	2	3	13	2	0	1	2
"txid2530391"	3	2	40	3	2	2	0
"txid2094150"	1	0	4	1	0	0	0
"txid2601703"	1	0	0	0	0	0	0
"txid2530390"	2	0	6	1	0	0	1
"txid1796646"	1	0	1	1	0	0	0
"txid2094151"	2	1	14	6	2	2	2
"txid2606626"	2	0	12	2	0	1	0
"txid454154"	1	1	2	0	4	8	1
"txid77768"	0	0	1	0	0	0	0
"txid305719"	0	0	0	2	0	0	0
"txid28127"	0	0	1	0	0	0	0
"txid537011"	0	0	2261	417	0	0	0
"txid28128"	0	0	1	1	0	0	0
"txid1236509"	0	0	1	0	0	0	0
"txid76123"	0	0	0	1	0	0	0
"txid2801997"	0	0	78	25	0	0	0
"txid2518605"	0	0	9	0	0	0	0
"txid2800387"	0	0	1	2	0	0	0
"txid2490854"	0	0	1	2	0	0	0
"txid2854755"	0	0	2	1	0	0	0
"txid1776379"	0	0	0	1	0	0	0
"txid840"	0	0	0	5	0	0	0
"txid439703"	0	0	1	7	0	0	0
"txid2479840"	0	0	8	5	0	0	0
"txid862515"	0	0	0	1	0	0	0
"txid873533"	0	0	0	1	0	0	0
"txid28135"	0	0	88	8	0	0	0
"txid915438"	0	0	6	8	0	0	0
"txid185294"	0	0	0	1	0	0	0
"txid407975"	0	0	0	1	0	0	0
"txid1676614"	0	0	141	120	0	0	0
"txid228603"	0	0	1	5	0	0	0
"txid28117"	0	0	0	0	0	0	1
"txid2290935"	0	0	1	0	0	0	0
"txid871327"	0	0	2	0	0	0	0
"txid2685834"	0	0	1	0	0	0	0
"txid823"	59	17	148	52	20	104	23
"txid387661"	0	0	1	2	0	0	0
"txid46503"	7	2	151	23	8	23	16
"txid2753162"	0	0	1	0	0	0	0
"txid46126"	0	0	0	1	0	0	0
"txid1288"	0	0	0	6	0	0	0
"txid150240"	1	0	0	0	0	0	0
"txid1379"	13	0	0	0	0	0	0
"txid1909670"	1	0	0	0	0	0	0
"txid29391"	5	1	0	0	0	0	4
"txid1179782"	10	0	0	0	0	0	1
"txid1179787"	6	0	0	0	0	0	0
"txid46125"	14	1	0	0	0	0	3
"txid137732"	16	0	0	0	0	0	0
"txid1351"	0	0	0	2	1	0	0
"txid889201"	1	0	0	0	0	0	0
"txid1888195"	1	0	0	0	0	0	0
"txid1156431"	4	0	0	0	0	1	0
"txid1338"	2	0	0	0	0	0	0
"txid2382163"	5	1	0	0	0	1	3
"txid28037"	1	1	0	0	0	0	0
"txid655813"	6	0	0	0	1	1	0
"txid1547447"	16	0	0	0	1	0	0
"txid760570"	5	0	0	0	0	0	0
"txid1305"	13	0	0	0	0	0	1
"txid1852387"	1	0	0	0	0	0	0
"txid2853160"	2	2	0	0	0	1	2
"txid501571"	28	21	2	1	32	10	20
"txid2126740"	95	21	4	7	41	24	11
"txid759821"	3	0	0	1	3	0	1
"txid1347366"	1	7	4	0	30	0	80
"txid1958780"	3	1	0	0	3	1	1
"txid2605778"	18	2	17	32	13	2	80
"txid2479838"	2	0	0	2	1	1	0
"txid2784388"	2	0	0	2	0	0	0
"txid1096246"	3	0	0	0	2	0	1
"txid154046"	4	0	1	1	2	1	0
"txid384636"	11	1	0	2	10	1	1
"txid29322"	1	0	0	1	0	0	0
"txid1732"	0	0	0	1	0	0	0
"txid42322"	0	0	0	1	0	0	0
"txid1527"	0	0	0	1	1	0	0
"txid433286"	1	0	0	1	0	0	0
"txid1727145"	0	0	0	1	0	0	0
"txid259063"	1	0	0	2	0	0	0
"txid649756"	0	0	0	1	0	0	0
"txid1745713"	0	0	0	1	0	0	0
"txid2606636"	17	5	1	28	24	4	6
"txid1912897"	0	0	0	6	1	0	0
"txid2696678"	1	0	1	1	0	0	0
"txid1796615"	4	1	0	1	0	0	0
"txid1532"	5	0	0	2	1	0	0
"txid536633"	124	46	6	26	42	15	125
"txid2025493"	19	2	0	7	4	0	4
"txid53443"	0	0	0	1	0	0	0
"txid2763028"	1	0	0	0	0	0	0
"txid2779518"	1	0	0	0	0	0	0
"txid1917868"	1	0	0	0	0	0	0
"txid1121114"	9	1	0	5	2	1	0
"txid1936059"	0	0	0	1	0	0	0
"txid1796616"	1	0	0	1	2	0	0
"txid180164"	4	1	0	0	2	0	2
"txid871664"	1	0	0	1	1	0	0
"txid45851"	14	1	2	5	3	1	1
"txid831"	17	2	0	9	1	0	3
"txid185008"	0	1	0	2	0	1	6
"txid43305"	3	1	0	3	1	0	0
"txid673271"	3	1	1	0	2	1	2
"txid33043"	1	0	0	1	0	0	0
"txid1796618"	1	0	0	1	0	0	0
"txid2850323"	1	0	0	0	1	0	0
"txid2850322"	2	0	1	0	0	0	0
"txid1720294"	1	0	0	0	0	0	0
"txid2652274"	0	0	0	1	0	0	0
"txid1432052"	0	0	0	2	0	0	3
"txid208479"	22	16	3	39	46	21	46
"txid358743"	4	0	0	1	4	0	0
"txid1531"	3	0	1	4	0	0	3
"txid460384"	1	0	0	1	2	0	0
"txid2788944"	0	0	2	9	1	2	7
"txid39482"	1	0	1	6	0	2	19
"txid2726362"	0	0	0	1	0	0	1
"txid290055"	1	0	0	1	0	0	0
"txid1544"	0	0	0	3	2	0	2
"txid1912855"	2	0	0	1	0	0	0
"txid1150298"	1	0	0	1	0	0	0
"txid1408099"	1	0	0	0	0	0	0
"txid1912090"	6	0	0	3	1	0	1
"txid2885351"	12	1	1	11	5	1	2
"txid2763671"	3	0	0	1	0	0	1
"txid679200"	0	0	0	0	0	0	1
"txid2763668"	2	0	0	0	0	0	0
"txid1469948"	9	3	0	9	4	1	6
"txid887325"	1	0	0	1	0	0	1
"txid140626"	1	0	0	0	0	0	0
"txid29364"	2	0	1	4	0	0	0
"txid1926283"	16	4	0	4	14	4	2
"txid1917870"	1	0	0	1	0	0	0
"txid1871021"	0	0	0	1	0	0	0
"txid1852382"	8	4	0	9	10	4	6
"txid36832"	0	0	0	1	1	0	0
"txid94868"	0	0	0	0	1	0	0
"txid253257"	15	1	1	3	10	3	3
"txid1286362"	73	55	0	13	64	42	32
"txid69825"	34	10	0	5	32	9	4
"txid84030"	6	0	0	0	3	0	0
"txid29370"	27	4	0	4	15	3	4
"txid29375"	2	0	0	2	0	0	0
"txid168384"	7	2	1	10	5	2	2
"txid411470"	20	10	0	5	29	2	16
"txid471875"	0	0	0	1	0	0	0
"txid33039"	1	0	0	1	0	0	0
