"ID"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"txid1329411"	0	94	0	0	0	0	0	1
"txid1683"	0	7	0	0	0	0	0	28
"txid1437608"	0	1	0	0	0	0	0	2
"txid2052941"	0	0	0	0	0	0	0	1
"txid1437609"	0	15	0	0	0	0	0	15
"txid1150460"	0	2	0	0	0	0	0	11
"txid2650773"	0	2	0	0	0	0	0	17
"txid2306975"	0	0	0	0	0	0	0	2
"txid1630172"	0	33	0	0	0	0	0	12
"txid2650774"	0	1	0	0	0	0	0	0
"txid2834437"	0	4	0	0	0	0	0	6
"txid1630166"	0	37	0	0	0	0	0	12
"txid2675322"	0	0	0	0	0	0	0	1
"txid2834431"	0	2	0	0	0	0	0	4
"txid2834432"	0	10	0	0	0	0	0	32
"txid78257"	0	8	0	0	0	0	0	22
"txid1437610"	0	16	0	0	0	0	0	13
"txid2045439"	0	17	0	0	0	0	0	8
"txid2834433"	0	8	0	0	0	0	0	4
"txid2306974"	0	17	0	0	0	0	0	37
"txid2809028"	0	5	0	0	0	0	0	5
"txid158787"	0	1	0	0	0	0	0	3
"txid2834434"	0	1	0	0	0	0	0	3
"txid762211"	0	1	0	0	0	0	0	0
"txid2014528"	0	0	0	0	2	1	0	0
"txid2220000"	0	0	0	0	0	0	0	1
"txid2584469"	0	0	0	0	0	0	0	1
"txid1805478"	0	0	0	0	1	0	0	2
"txid604330"	0	0	0	0	0	0	0	1
"txid2292441"	0	0	0	0	0	0	0	1
"txid2003188"	1	2	1	1	0	3	2	11
"txid2779357"	0	0	0	0	1	0	0	0
"txid1871031"	0	1	0	1	1	4	3	6
"txid74426"	0	0	0	0	0	0	0	2
"txid2603815"	0	2	0	0	0	0	0	2
"txid1907654"	0	2	0	0	0	0	0	2
"txid1720204"	0	0	0	0	0	0	1	1
"txid147207"	5	6	54	5	8	6	52	87
"txid1937461"	1	1	1	0	1	2	1	2
"txid147206"	0	0	1	0	0	0	0	2
"txid742742"	10	15	14	5	14	4	36	33
"txid1870987"	8	4	10	0	7	2	25	18
"txid883106"	0	0	0	0	0	0	0	1
"txid85831"	0	0	0	0	0	0	0	1
"txid47678"	0	0	0	0	0	0	0	1
"txid1411144"	0	1	1	0	1	0	3	10
"txid762984"	0	1	0	0	0	0	0	1
"txid28111"	0	0	0	0	0	0	2	4
"txid1236513"	0	0	0	0	0	0	0	1
"txid1077285"	1	1	0	2	1	0	3	3
"txid338188"	4	2	0	4	2	2	4	2
"txid1462571"	0	2	0	0	1	0	0	1
"txid2792859"	18	24	12	27	18	19	27	22
"txid1907658"	0	0	0	0	0	0	0	1
