"ID"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"txid1437610"	0	1	0	0	0	0	0	0	0
"txid2014528"	0	1	0	1	0	0	2	0	0
"txid1852385"	0	0	0	1	0	0	1	0	2
"txid997349"	0	0	0	0	0	0	2	0	1
"txid1805478"	0	1	0	0	1	1	1	0	1
"txid2003188"	2	0	0	1	0	0	1	1	1
"txid1871022"	0	0	0	0	0	0	0	0	1
"txid1871031"	6	0	2	1	3	1	5	7	1
"txid1907654"	0	0	0	0	1	0	1	0	0
"txid1720204"	0	0	0	0	0	0	1	2	0
"txid147207"	47	16	5	13	76	25	63	67	49
"txid1871016"	0	0	0	0	0	0	1	1	0
"txid1937461"	0	0	0	0	2	0	1	0	0
"txid147206"	2	0	0	1	2	0	1	1	1
"txid742742"	8	0	1	4	14	2	22	20	7
"txid1870987"	5	0	0	3	9	1	10	14	4
"txid883106"	0	0	0	0	0	0	0	1	0
"txid432331"	0	0	0	0	0	1	0	0	0
"txid85831"	0	1	0	0	0	0	0	0	2
"txid1411144"	12	8	9	13	33	31	11	17	18
"txid762984"	0	0	0	0	1	0	0	0	0
"txid28111"	0	1	1	1	2	2	0	2	0
"txid1077285"	0	0	2	1	5	3	2	1	1
"txid338188"	0	0	1	1	1	1	1	2	2
"txid2792859"	7	3	10	11	28	19	12	24	11
"txid1912896"	0	0	0	1	2	2	0	1	0
"txid1841856"	89	31	36	58	106	107	49	119	91
"txid1203608"	0	0	0	0	1	0	0	0	0
"txid742727"	0	0	0	0	0	0	0	0	1
"txid28116"	0	1	1	1	2	0	1	4	0
"txid291644"	4	32	27	41	121	157	40	68	37
"txid449673"	5	12	19	13	56	45	10	27	10
"txid818"	0	0	0	0	1	0	0	0	1
"txid820"	17	71	53	43	287	312	49	110	40
"txid657309"	7	1	4	3	9	10	8	25	6
"txid2650157"	0	0	0	0	2	1	0	1	1
"txid2725562"	0	0	0	1	2	0	0	0	0
"txid376804"	9	9	3	14	32	23	8	16	31
"txid470145"	0	0	0	0	0	1	0	2	2
"txid387090"	0	1	0	2	2	0	2	1	1
"txid357276"	3	4	6	11	40	34	20	29	28
"txid2786956"	0	0	0	0	2	1	2	0	4
"txid204516"	5	11	33	16	64	43	20	27	18
"txid1236498"	0	0	0	0	2	0	0	0	0
"txid484018"	464	260	268	346	885	901	340	568	142
"txid1236538"	396	88	148	165	312	330	115	592	268
"txid435590"	110	79	102	107	270	236	98	234	145
"txid487174"	29	3	1	3	17	16	10	34	4
"txid397865"	2	0	0	3	2	4	5	7	5
"txid1349822"	4	5	5	6	18	8	11	42	6
"txid2518971"	0	0	0	0	1	0	0	0	0
"txid2530391"	17	2	1	2	3	8	6	19	10
"txid1796646"	0	0	0	0	0	0	0	0	2
"txid2094151"	26	10	5	8	9	10	10	37	14
"txid2606626"	5	2	0	2	6	7	4	14	9
"txid671218"	0	0	0	0	3	0	0	0	1
"txid76122"	2	0	0	2	7	2	1	1	7
"txid1841864"	0	2	0	1	3	1	0	1	10
"txid1816687"	0	0	0	0	0	0	0	0	2
"txid454154"	7	6	4	2	28	24	2	7	4
"txid454155"	0	0	0	2	5	3	1	0	6
"txid305719"	50	14	11	27	55	68	19	70	144
"txid873513"	8	5	5	10	26	25	12	28	66
"txid28127"	0	0	0	0	0	1	0	0	1
"txid537011"	1	0	0	1	0	0	0	0	0
"txid1236509"	0	0	0	0	4	4	1	0	6
"txid28129"	0	0	0	0	3	0	0	1	4
"txid1236517"	0	1	0	0	1	1	0	0	1
"txid2801997"	0	0	0	1	0	0	0	0	0
"txid2518605"	0	1	0	0	0	0	0	0	2
"txid2800387"	0	0	0	2	2	2	1	0	4
"txid840"	0	0	0	0	0	0	0	0	1
"txid439703"	0	0	0	2	5	4	1	3	15
"txid28135"	0	1	0	1	1	2	0	0	0
"txid915438"	0	0	0	0	0	0	0	0	1
"txid185294"	0	0	0	2	0	1	0	0	2
"txid1002367"	0	0	0	1	1	0	1	0	0
"txid1852370"	387	54	94	121	251	321	106	629	533
"txid2290935"	0	0	0	0	1	0	0	1	0
"txid823"	9	43	27	45	86	95	35	228	187
"txid46503"	165	45	45	75	96	120	70	308	159
"txid28112"	0	0	0	0	1	0	0	0	0
"txid1379"	0	0	0	0	0	0	0	0	1
"txid29391"	1	0	0	1	1	0	0	2	0
"txid1179782"	1	0	0	0	0	0	0	0	0
"txid46125"	1	0	0	0	1	0	0	1	0
"txid137732"	0	0	0	1	0	0	0	0	1
"txid1351"	0	0	1	0	0	0	1	0	0
"txid28038"	0	0	0	2	0	0	0	0	0
"txid1599"	0	0	0	2	0	0	0	0	0
"txid1358"	0	0	0	0	0	0	0	1	0
"txid1968889"	0	0	0	0	0	0	0	0	1
"txid1156431"	0	0	0	0	0	0	0	1	1
"txid2382163"	5	0	0	1	1	1	0	0	0
"txid1547447"	2	0	0	1	0	0	0	1	0
"txid1305"	1	0	0	0	0	0	1	0	0
"txid2853160"	2	0	0	1	0	0	0	0	0
"txid2126740"	8	6	17	17	9	23	14	2	7
"txid759821"	0	1	0	4	4	6	5	1	1
"txid1347366"	0	1	0	0	0	0	0	0	0
"txid1958780"	0	1	1	4	6	1	1	0	6
"txid1650661"	3	9	28	22	52	54	11	25	14
"txid2605778"	93	17	100	67	70	116	65	34	21
"txid2479838"	0	0	0	0	2	0	1	0	2
"txid2784388"	0	1	0	1	1	1	1	0	1
"txid1096246"	0	0	1	0	0	2	0	1	0
"txid154046"	0	0	0	1	1	2	0	0	1
"txid384636"	0	2	0	5	7	5	1	2	1
"txid53442"	1	1	5	2	2	1	4	2	1
"txid29322"	0	0	0	0	0	1	0	0	0
"txid1732"	0	0	0	0	0	1	0	0	0
"txid433286"	0	0	0	0	1	0	0	0	0
"txid1727145"	0	0	0	1	0	0	0	0	0
"txid259063"	1	1	0	1	2	0	1	1	0
"txid2696063"	0	1	0	0	0	0	0	0	0
"txid1812858"	0	1	0	0	0	0	0	0	0
"txid1745713"	0	0	0	1	0	0	1	0	1
"txid2606636"	10	2	14	16	9	6	14	16	14
"txid1912897"	0	0	0	1	1	0	0	0	1
"txid2696678"	0	0	0	1	1	0	1	0	0
"txid1796615"	0	2	7	5	1	1	5	3	0
"txid1532"	0	2	3	1	1	3	1	1	0
"txid2509240"	0	0	1	1	0	1	1	0	0
"txid536633"	113	76	337	252	78	46	160	183	33
